metric,init,greedy,ilp
기준국,99,68,64
감시국,0,31,35
기선수,282,189,177
기선평균전체,48.7349030425536,61.0940309966473,63.1433931452167
기선평균초과제외,39.0425305787605,47.8973734441367,49.4106450031769
기선최대전체,421.306377156396,421.306377156396,421.306377156396
기선최대초과제외,69.9464001910396,69.9464001910396,69.9464001910396
초기>100km수,27,27,26
유효셀,0,27,29
면적km2,0,33288.2425850492,36229.2496226825
